perm,rf,rf_shap,variable,wv_rf,xgb,xgb_shap
0.0013349418153092872,0.0009238522355637678,0.0018957088919806658,fBodyGyro-meanFreq()-Z,0.25474905673477244,0.0010927284602075815,0.0008972660289146006
0.0010385450689933795,0.0008940806150936162,0.0024935633697999054,fBodyGyro-skewness()-X,0.1611328628493324,0.003377356333658099,0.004536315333098173
0.0007611663274086233,0.0005857278537974651,0.0019079418612815203,fBodyGyro-kurtosis()-X,0.173099303393699,0.0011651330860331655,0.0016891811974346638
0.0010721870010900185,0.0011951590209899703,0.002398185812641407,fBodyGyro-skewness()-Y,0.9131406681455934,0.0046421014703810215,0.008490717969834805
0.0014428101158128854,0.0008844448793038629,0.0021318829934351166,fBodyGyro-kurtosis()-Y,1.5419234057544091,0.0025613156612962484,0.004914103075861931
0.0012667535156324014,0.0014616565201205204,0.0033486880253279965,fBodyGyro-skewness()-Z,1.085748734297471,0.004733727779239416,0.009098714217543602
0.001199665043889964,0.0009603248518867336,0.0029360387044210638,fBodyGyro-kurtosis()-Z,1.1138854750802456,0.002062321174889803,0.004777953028678894
0.003642126198534519,0.0029924129175934993,0.008165742458210853,"fBodyGyro-bandsEnergy()-1,8",0.2578560565736152,0.002558104693889618,0.00816416833549738
0.003736807424325127,0.0017430143713324416,0.006310307091737311,"fBodyGyro-bandsEnergy()-9,16",0.3485756801579948,0.00439372006803751,0.01208687573671341
0.0009627214340145158,0.0006492423082969356,0.002037602684821533,"fBodyGyro-bandsEnergy()-17,24",0.37451140008177214,0.0006296022329479456,0.0006222520605660975
0.0005297645952475484,0.00040052551872008467,0.000976364540679706,"fBodyGyro-bandsEnergy()-25,32",0.19251118586115626,0.0004890639102086425,0.00045973763917572796
0.0010453650466380885,0.0005093036458309646,0.0020978115040520004,"fBodyGyro-bandsEnergy()-33,40",0.12084139103219205,0.0006210572901181877,0.001429172232747078
0.0006163357266296487,0.0006319810712980479,0.0020674032203386473,"fBodyGyro-bandsEnergy()-41,48",0.2315449719414958,0.0011673638364300132,0.0028614592738449574
0.0011220871167786017,0.000660554199155663,0.001964317568021356,"fBodyGyro-bandsEnergy()-49,56",0.2442101429823308,0.0005965760792605579,0.0007684630108997226
0.0005732289510875729,0.0003841928367249316,0.001468718075194921,"fBodyGyro-bandsEnergy()-57,64",0.06553104226563837,0.0008022818947210908,0.0010435874573886395
0.004841078512983563,0.0034273338735910245,0.009202175471217164,"fBodyGyro-bandsEnergy()-1,16",1.93572748113806,0.0011931798653677106,0.033169228583574295
0.0007659832547621579,0.0007029389455267057,0.0022946050300110933,"fBodyGyro-bandsEnergy()-17,32",0.1988265096945632,0.00022404344053938985,0.0002767723344732076
0.00099595038699359,0.0007440484241958772,0.0015983727440969711,"fBodyGyro-bandsEnergy()-33,48",0.14740681794368932,0.0003478370199445635,0.0013004917418584228
0.0009012015778953374,0.0006394857492820513,0.0016757301963995924,"fBodyGyro-bandsEnergy()-49,64",1.7923703802287543,0.0002970414643641561,0.00044788821833208203
0.0031053000856635445,0.002822876960782502,0.00654528892948059,"fBodyGyro-bandsEnergy()-1,24",0.35217124936814737,0.00036391225876286626,0.013691498897969723
0.0005597189259300278,0.000615241759922307,0.002401222051561905,"fBodyGyro-bandsEnergy()-25,48",0.2941284451790038,0.00028973224107176065,0.000676203053444624
0.001133613465504846,0.001191927519434509,0.00208245423844147,"fBodyGyro-bandsEnergy()-1,8.1",0.7215758862214879,0.004443618468940258,0.008508077822625637
0.0007922661594528,0.00033520519256210687,0.0012737319994751682,"fBodyGyro-bandsEnergy()-9,16.1",0.15985894132897988,0.0019092140719294548,0.0028682842385023832
0.0008878760613138995,0.00043893206490910875,0.0016325856407316233,"fBodyGyro-bandsEnergy()-17,24.1",1.922473460926286,0.0006780336261726916,0.0005413618637248874
0.0008125526043002601,0.00044253135514233136,0.0011999256138601124,"fBodyGyro-bandsEnergy()-25,32.1",1.8888685303362744,0.0010568402940407395,0.0010707181645557284
0.0004079866881345915,0.0002533475090680742,0.0009339384086925546,"fBodyGyro-bandsEnergy()-33,40.1",0.15323810271662192,0.00039759205537848175,0.00020920434326399118
0.0006729132959668503,0.00027588969945543636,0.0007185452976744491,"fBodyGyro-bandsEnergy()-41,48.1",0.12090771534910152,0.000297221151413396,0.0003023396129719913
0.0003312859156545775,0.0001852168304774039,0.0007160125336449987,"fBodyGyro-bandsEnergy()-49,56.1",0.07460208399290066,0.00038079629302956164,0.00038037163903936744
0.0003917895891873592,0.0001652089674299438,0.0005956995055718333,"fBodyGyro-bandsEnergy()-57,64.1",0.06569331553269431,0.0007204618887044489,0.0010508086998015642
0.0009320823171597935,0.0011915248074544245,0.0030730388570544016,"fBodyGyro-bandsEnergy()-1,16.1",2.212221348861372,0.00010814858978847042,0.00019525524112395942
0.0007444564982052065,0.0005391893363907313,0.0014588322616753036,"fBodyGyro-bandsEnergy()-17,32.1",0.11900563034665396,0.00032234686659649014,0.0006069923983886838
0.0004563020081939385,0.00036001547345306244,0.0011386889441445628,"fBodyGyro-bandsEnergy()-33,48.1",0.1828945013480336,0.0002150291547877714,0.0001889977720566094
0.00040444058327107147,0.00014557000585423716,0.0006131909679887235,"fBodyGyro-bandsEnergy()-49,64.1",0.12573937609862892,9.932170360116288e-05,0.0001793569535948336
0.0015572797412394643,0.0011184379916096682,0.002332683708842832,"fBodyGyro-bandsEnergy()-1,24.1",0.3562676364262128,4.960287697031163e-05,0.00014056908548809588
0.0008438172278217094,0.0004841019781910914,0.0015625570029151243,"fBodyGyro-bandsEnergy()-25,48.1",1.909977864059728,0.0002718651667237282,0.0002766861580312252
0.00150666129274996,0.0015107733971013854,0.00413953847872175,"fBodyGyro-bandsEnergy()-1,8.2",3.99992769126841,0.00084483198588714,0.002375108888372779
0.0006959156173270628,0.001013747584417384,0.004406641444098444,"fBodyGyro-bandsEnergy()-9,16.2",0.18796832455517493,0.0006453989772126079,0.0012629082193598151
0.004102963804078072,0.001010073546566006,0.004764765150246858,"fBodyGyro-bandsEnergy()-17,24.2",0.2506350816201278,0.001365243224427104,0.00503938365727663
0.000696748338341554,0.0004625064959781648,0.001694360648831946,"fBodyGyro-bandsEnergy()-25,32.2",0.12889311518843607,0.0006371100316755474,0.001016301685012877
