model,method,k,ACC,Error
RF,rf_shap,4,0.7668771248178727,0.23312287518212726
RF,rf_shap,5,0.7864077669902912,0.21359223300970875
RF,rf_shap,5,0.7888349514563107,0.21116504854368934
RF,rf_shap,5,0.7737864077669903,0.22621359223300974
RF,rf_shap,5,0.7621359223300971,0.23786407766990292
RF,rf_shap,5,0.7659057795046139,0.23409422049538609
RF,rf_shap,10,0.925242718446602,0.074757281553398
RF,rf_shap,10,0.9281553398058252,0.07184466019417479
RF,rf_shap,10,0.9300970873786408,0.06990291262135917
RF,rf_shap,10,0.9237864077669903,0.07621359223300972
RF,rf_shap,10,0.9242350655658087,0.0757649344341913
RF,rf_shap,15,0.9470873786407767,0.052912621359223255
RF,rf_shap,15,0.9480582524271844,0.051941747572815555
RF,rf_shap,15,0.9490291262135923,0.050970873786407744
RF,rf_shap,15,0.9388349514563107,0.061165048543689315
RF,rf_shap,15,0.9456046624575036,0.05439533754249637
RF,rf_shap,20,0.9538834951456311,0.04611650485436891
RF,rf_shap,20,0.9538834951456311,0.04611650485436891
RF,rf_shap,20,0.9490291262135923,0.050970873786407744
RF,rf_shap,20,0.9432038834951456,0.05679611650485439
RF,rf_shap,20,0.9460903351141331,0.053909664885866904
RF,rf_shap,25,0.9587378640776699,0.04126213592233008
RF,rf_shap,25,0.9538834951456311,0.04611650485436891
RF,rf_shap,25,0.95,0.050000000000000044
RF,rf_shap,25,0.9461165048543689,0.053883495145631066
RF,rf_shap,25,0.9470616804273919,0.052938319572608084
RF,rf_shap,50,0.9679611650485437,0.03203883495145632
RF,rf_shap,50,0.9737864077669903,0.026213592233009675
RF,rf_shap,50,0.9684466019417476,0.03155339805825241
RF,rf_shap,50,0.9703883495145631,0.029611650485436902
RF,rf_shap,50,0.9689169499757163,0.031083050024283687
RF,rf_shap,100,0.9713592233009709,0.02864077669902909
RF,rf_shap,100,0.9805825242718447,0.01941747572815533
RF,rf_shap,100,0.9703883495145631,0.029611650485436902
RF,rf_shap,100,0.9733009708737864,0.02669902912621358
RF,rf_shap,100,0.975230694511899,0.024769305488100968
RF,rf,1,0.5257281553398059,0.4742718446601941
RF,rf,1,0.5145631067961165,0.4854368932038835
RF,rf,1,0.5194174757281553,0.48058252427184467
RF,rf,1,0.5203883495145631,0.47961165048543686
RF,rf,1,0.508499271491015,0.49150072850898496
RF,rf,2,0.6859223300970874,0.31407766990291264
RF,rf,2,0.6766990291262136,0.3233009708737864
