model,method,k,MAE,MSE
RF,perm,1,2.171092402809909,9.77647180750493
RF,perm,1,2.156588687875108,9.29151387395522
RF,perm,1,2.275144013224678,10.121731960381638
RF,perm,1,2.2122810271230953,9.666574166935895
RF,perm,2,1.9269051321099107,7.800635646107111
RF,perm,2,2.082699914089204,9.3689307618318
RF,perm,2,2.0646147909964863,8.873415230696263
RF,perm,2,2.16022184654873,9.624971784145131
RF,perm,2,2.117888464138247,9.187558575492915
RF,perm,3,1.7946070512170398,7.120428823364999
RF,perm,3,1.942976212503554,8.583134850325859
RF,perm,3,1.909311436833962,7.888150719353074
RF,perm,3,1.9560338639660901,8.545127408842967
RF,perm,3,1.94193918382136,8.187877729063525
RF,perm,4,1.7926675983268634,7.109522504616888
RF,perm,4,1.941287457574304,8.571834569634365
RF,perm,4,1.9073844458607807,7.872825441196043
RF,perm,4,1.9537434012706765,8.532628877324395
RF,perm,4,1.939901476319086,8.176041985149748
RF,perm,5,1.783774375297529,7.0691441233101955
RF,perm,5,1.932672554421458,8.527710279422472
RF,perm,5,1.8997257695464431,7.8516284242075045
RF,perm,5,1.9426595809894545,8.489231073697663
RF,perm,5,1.9299059963701415,8.127495558458563
RF,perm,6,1.7827451444950504,7.074466678423612
RF,perm,6,1.932000855046865,8.528259084580903
RF,perm,6,1.8986147177419863,7.848822814954358
RF,perm,6,1.9405434928319236,8.481739891390637
RF,perm,6,1.928707411467201,8.121081462474395
RF,perm,7,1.773165194362296,7.03709448923545
RF,perm,7,1.9237160516886929,8.49309685980528
RF,perm,7,1.8901919216943917,7.823151723215818
RF,perm,7,1.9274473234613798,8.437185201568369
RF,perm,7,1.918870499625207,8.081955547122226
RF,perm,8,1.7344275719270201,6.711328119516073
RF,perm,8,1.8747075737568153,8.097475525994243
RF,perm,8,1.8464851155083326,7.488852726483354
RF,perm,8,1.8719357329553414,8.04192426714228
RF,perm,8,1.8793368131535704,7.797481853905732
RF,perm,9,1.730674432792558,6.662314139727181
RF,perm,9,1.8714642566555113,8.058136946186877
RF,perm,9,1.8496111063382463,7.483119291779866
RF,perm,9,1.8654982753006903,7.991959309495808
RF,perm,9,1.8830552486445147,7.793762299778063
RF,perm,10,1.7318749350339706,6.671654792514301
RF,perm,10,1.8719747336185866,8.051693059171527
RF,perm,10,1.8479192079041338,7.481180287342579
RF,perm,10,1.867822207570395,8.004827335320718
RF,perm,10,1.8823585588469058,7.775969709061134
RF,rf_shap,1,2.015700465274856,8.173292393185557
RF,rf_shap,1,2.171092402809909,9.77647180750493
RF,rf_shap,1,2.156588687875108,9.29151387395522
RF,rf_shap,1,2.275144013224678,10.121731960381638
RF,rf_shap,1,2.2122810271230953,9.666574166935895
RF,rf_shap,2,1.9269051321099107,7.800635646107111
RF,rf_shap,2,2.082699914089204,9.3689307618318
RF,rf_shap,2,2.0646147909964863,8.873415230696263
RF,rf_shap,2,2.16022184654873,9.624971784145131
RF,rf_shap,2,2.117888464138247,9.187558575492915
RF,rf_shap,3,1.921378153989411,7.7670595451628595
RF,rf_shap,3,2.0763951650018853,9.33161162698656
RF,rf_shap,3,2.0579411405356063,8.834679622794036
RF,rf_shap,3,2.154320529887883,9.590590661386434
RF,rf_shap,3,2.1120192106185542,9.145359297520823
RF,rf_shap,4,1.7926675983268636,7.109522504616888
RF,rf_shap,4,1.941287457574304,8.571834569634365
RF,rf_shap,4,1.9073844458607805,7.872825441196043
RF,rf_shap,4,1.9537434012706765,8.532628877324395
RF,rf_shap,4,1.939901476319086,8.176041985149746
RF,rf_shap,5,1.783774375297529,7.069144123310197
RF,rf_shap,5,1.932672554421458,8.527710279422472
RF,rf_shap,5,1.8997257695464431,7.8516284242075045
RF,rf_shap,5,1.9426595809894547,8.489231073697665
RF,rf_shap,5,1.9299059963701417,8.127495558458564
RF,rf_shap,6,1.7827451444950502,7.074466678423612
RF,rf_shap,6,1.932000855046865,8.528259084580903
RF,rf_shap,6,1.8986147177419863,7.84882281495436
RF,rf_shap,6,1.9405434928319238,8.481739891390639
RF,rf_shap,6,1.9287074114672011,8.121081462474395
RF,rf_shap,7,1.7416681264147196,6.7457485409091
RF,rf_shap,7,1.8811164671506997,8.136418219733574
RF,rf_shap,7,1.8526039619157861,7.508935554880616
RF,rf_shap,7,1.8820118006159554,8.072755643062823
RF,rf_shap,7,1.8880237651355858,7.827129693117543
RF,rf_shap,8,1.7344275719270201,6.7113281195160726
RF,rf_shap,8,1.8747075737568153,8.097475525994243
RF,rf_shap,8,1.8464851155083326,7.488852726483355
RF,rf_shap,8,1.8719357329553412,8.04192426714228
RF,rf_shap,8,1.8793368131535708,7.797481853905733
RF,rf_shap,9,1.7306744327925585,6.662314139727182
RF,rf_shap,9,1.8714642566555113,8.058136946186877
RF,rf_shap,9,1.8496111063382463,7.483119291779868
RF,rf_shap,9,1.8654982753006903,7.991959309495808
RF,rf_shap,9,1.883055248644515,7.793762299778064
RF,rf_shap,10,1.7318749350339706,6.671654792514301
RF,rf_shap,10,1.8719747336185864,8.051693059171527
RF,rf_shap,10,1.8479192079041338,7.481180287342578
RF,rf_shap,10,1.8678222075703954,8.00482733532072
RF,rf_shap,10,1.8823585588469058,7.775969709061135
RF,rf,1,2.015700465274856,8.173292393185557
RF,rf,1,2.171092402809909,9.77647180750493
RF,rf,1,2.156588687875108,9.29151387395522
RF,rf,1,2.275144013224678,10.121731960381638
RF,rf,1,2.2122810271230953,9.666574166935895
RF,rf,2,2.005081901438482,8.102935699205066
RF,rf,2,2.160617984372737,9.698318509593188
RF,rf,2,2.1467634366440773,9.229558839543303
RF,rf,2,2.263541427450219,10.043666092390012
RF,rf,2,2.2013234546429494,9.591448580018907
RF,rf,3,1.790311693345782,7.083151034020614
RF,rf,3,1.9378020964454858,8.532971928069982
RF,rf,3,1.903553874934701,7.837713386798372
RF,rf,3,1.953268666823785,8.50639197993929
RF,rf,3,1.9388467519971988,8.140117542671994
RF,rf,4,1.7926675983268638,7.109522504616888
RF,rf,4,1.941287457574304,8.571834569634365
RF,rf,4,1.9073844458607807,7.872825441196042
RF,rf,4,1.9537434012706765,8.532628877324393
RF,rf,4,1.939901476319086,8.176041985149748
RF,rf,5,1.791790698053679,7.109841726408445
RF,rf,5,1.9404681770299508,8.571383422585603
RF,rf,5,1.905979103498434,7.873226743722122
RF,rf,5,1.9521333325681884,8.526608789471453
RF,rf,5,1.9371741793312527,8.174081609196273
RF,rf,6,1.7827451444950504,7.074466678423612
RF,rf,6,1.9320008550468653,8.528259084580903
RF,rf,6,1.898614717741986,7.848822814954358
RF,rf,6,1.9405434928319238,8.481739891390637
RF,rf,6,1.9287074114672011,8.121081462474395
RF,rf,7,1.773165194362296,7.03709448923545
RF,rf,7,1.9237160516886929,8.49309685980528
RF,rf,7,1.8901919216943912,7.823151723215815
RF,rf,7,1.9274473234613798,8.437185201568367
RF,rf,7,1.9188704996252073,8.081955547122227
RF,rf,8,1.7344275719270201,6.711328119516073
RF,rf,8,1.8747075737568153,8.097475525994245
RF,rf,8,1.8464851155083326,7.488852726483354
RF,rf,8,1.8719357329553412,8.04192426714228
RF,rf,8,1.8793368131535704,7.797481853905731
RF,rf,9,1.730674432792558,6.662314139727181
RF,rf,9,1.8714642566555113,8.058136946186877
RF,rf,9,1.8496111063382468,7.483119291779868
RF,rf,9,1.8654982753006903,7.99195930949581
RF,rf,9,1.883055248644515,7.793762299778063
RF,rf,10,1.7318749350339706,6.671654792514302
RF,rf,10,1.8719747336185866,8.051693059171527
RF,rf,10,1.8479192079041336,7.481180287342579
RF,rf,10,1.8678222075703954,8.00482733532072
RF,rf,10,1.8823585588469056,7.775969709061134
RF,wv_rf,1,2.015700465274856,8.173292393185557
RF,wv_rf,1,2.171092402809909,9.77647180750493
RF,wv_rf,1,2.156588687875108,9.29151387395522
RF,wv_rf,1,2.275144013224678,10.121731960381638
RF,wv_rf,1,2.2122810271230953,9.666574166935895
RF,wv_rf,2,1.9269051321099107,7.800635646107111
RF,wv_rf,2,2.082699914089204,9.3689307618318
RF,wv_rf,2,2.0646147909964863,8.873415230696263
RF,wv_rf,2,2.16022184654873,9.624971784145131
RF,wv_rf,2,2.117888464138247,9.187558575492915
RF,wv_rf,3,1.9036205327142686,7.708245775932817
RF,wv_rf,3,2.060251399630872,9.279443409695977
RF,wv_rf,3,2.0400733053238986,8.75682618830312
RF,wv_rf,3,2.1301290919026052,9.488542499036548
RF,wv_rf,3,2.092253812044027,9.060573285765171
RF,wv_rf,4,1.7935369459961108,7.121943373941812
RF,wv_rf,4,1.9422618846197512,8.583662533706732
RF,wv_rf,4,1.9080656430257923,7.887920430192919
