perm,rf,rf_shap,variable,wv_rf,xgb,xgb_shap,task
0.0006582851542452076,0.00039693276108136033,0.0012192154050941991,tBodyGyroMag-max(),0.11955900539228775,0.000339237682055682,0.0004976146155968308,clf
0.0011169021899373934,0.0004262284803903735,0.0020094678619646273,tBodyGyroMag-min(),0.13215627235559246,0.002076095435768366,0.0041607017628848535,clf
0.0011156157438544595,0.0005956564002115759,0.0036360743972809993,tBodyGyroMag-sma(),0.11857772965362895,0.0,0.0,clf
0.0013795812766450785,0.0005375787041301726,0.002092537899823745,tBodyGyroMag-energy(),0.12377546681390245,0.0002970588975585997,0.0019007064402103426,clf
0.0006078541565869379,0.0003732793500707317,0.0010975942916463274,tBodyGyroMag-iqr(),0.15476538415008384,0.002896507503464818,0.003267619758844376,clf
0.0009184616801911178,0.000682586192659879,0.0013665230614835625,tBodyGyroMag-entropy(),0.12980393019417694,0.0029992247000336647,0.004448994994163513,clf
0.000879743605238863,0.0004624122947698536,0.001365722550347052,tBodyGyroMag-arCoeff()1,0.33432624398218513,0.001776556600816548,0.0008625276386737822,clf
0.0003472115416353899,0.00041267831971818073,0.0008166195626927424,tBodyGyroMag-arCoeff()2,0.16547581461764072,0.0009654988534748554,0.0006162578938528893,clf
0.00017962260921558027,0.00023632610862841133,0.00045416196524727053,tBodyGyroMag-arCoeff()3,0.10951824703876108,0.00135030725505203,0.0006407928303815423,clf
0.00023962222547709887,0.00023467943074659948,0.0004732780435447718,tBodyGyroMag-arCoeff()4,0.113956500003541,0.0010105075780302286,0.0005423350958153605,clf
0.0025454414801472803,0.003246784588155469,0.005453919092591535,tBodyGyroJerkMag-mean(),1.2227747880790019,6.617258623009549e-05,0.0001929935096995905,clf
0.0011799953893619178,0.0006660849494982886,0.0016623023464631382,tBodyGyroJerkMag-std(),0.2495002992528467,0.00018254169845022256,0.00030822213739156723,clf
0.0010832450119023225,0.0006867067379578535,0.002848246432347108,tBodyGyroJerkMag-mad(),0.16061277334439553,9.96621820377186e-05,0.00011251593969063833,clf
0.0008932067855922541,0.0002737029559154203,0.002820948728738155,tBodyGyroJerkMag-max(),0.13609274482029227,0.00018312103929929435,0.0003580850316211581,clf
0.0003154105377111417,0.00024270294872412,0.0024210214487881128,tBodyGyroJerkMag-min(),0.0605730994709424,0.0012666902039200068,0.0013141259551048279,clf
0.0043706229949417395,0.002740725332682478,0.013217140648716898,tBodyGyroJerkMag-sma(),0.6163935173836432,0.0,0.0,clf
0.001252105279125143,0.0016217314445871093,0.004429495210948717,tBodyGyroJerkMag-energy(),0.12523567051955234,7.399621972581372e-05,0.00019224395509809256,clf
0.0018207638056629445,0.0022025330111403447,0.003647944933724248,tBodyGyroJerkMag-iqr(),0.09004764901226514,0.00029739612364210183,0.0006227311096154152,clf
0.0005310296733007861,0.0004103272385691698,0.006221615202065969,tBodyGyroJerkMag-entropy(),0.10476766139226176,0.00040540017653256655,0.0007730657234787941,clf
0.0004991704904133971,0.00039123319917594576,0.0008069767606444659,tBodyGyroJerkMag-arCoeff()1,0.03816855597271347,0.002482077805325389,0.0015294181648641825,clf
0.00049309568311564,0.0003961606558855125,0.0010005044866477654,tBodyGyroJerkMag-arCoeff()2,0.16073538030730755,0.0012727086432278154,0.0005911345360800624,clf
0.0001609076698634579,0.00025499207059424887,0.00030098685751346404,tBodyGyroJerkMag-arCoeff()3,0.07903301791335708,0.00123273185454309,0.0004916848847642541,clf
0.00032606857012199133,0.0003395517008896418,0.0008153327056335157,tBodyGyroJerkMag-arCoeff()4,0.07322430623909001,0.0014663721667602658,0.0006393261137418449,clf
0.002814375615724322,0.003920196766144993,0.008805801137306397,fBodyAcc-mean()-X,2.0618699501617224,0.0005292358691804111,0.0005446419818326831,clf
0.0027344142373432216,0.0013511275839886135,0.003188916846732226,fBodyAcc-mean()-Y,0.11084461724502193,0.0002146094338968396,0.00031073042191565037,clf
0.0007123396553922406,0.0005387905651264683,0.0030351819750592327,fBodyAcc-mean()-Z,0.0980039843149096,0.0003054130938835442,0.0006494204280897975,clf
0.003129008423977457,0.005056134175955261,0.013474853514944379,fBodyAcc-std()-X,1.7989851380156616,0.0019913578871637587,0.025718506425619125,clf
0.0015569211219794929,0.0008698332332066951,0.0039934021859513785,fBodyAcc-std()-Y,0.4852596420590812,0.003095759777352214,0.02362104877829552,clf
0.0016039793548853285,0.0008819723668278221,0.0029402696992543802,fBodyAcc-std()-Z,0.3771652681636606,0.0004965714178979397,0.0008928384631872178,clf
0.004396329226968176,0.00585439958115105,0.0163107288285368,fBodyAcc-mad()-X,1.6336713947578758,0.0008748054387979209,0.006409568712115289,clf
0.002683754629461763,0.0016987401441411574,0.003344258114059805,fBodyAcc-mad()-Y,0.195496815750685,0.00035566664882935584,0.0007242718711495402,clf
0.001480394699818794,0.0009478603697281213,0.0020196798089074687,fBodyAcc-mad()-Z,0.20670048437200125,0.0005124575109221041,0.0016112026060000062,clf
0.003972748034823693,0.0052276333146798176,0.012614162335802741,fBodyAcc-max()-X,2.207581141523796,0.0069877104833722115,0.2068879008293152,clf
0.001469359961023814,0.0011736277545716625,0.0033726971235533976,fBodyAcc-max()-Y,0.5499517634651927,0.0027475112583488226,0.01108610723167658,clf
0.0012489063397881984,0.0009456929950582127,0.0023771128022148412,fBodyAcc-max()-Z,0.444718953509574,0.003875972237437964,0.02644919976592064,clf
0.0003556259207928165,0.00018026750796399247,0.0006983236205886497,fBodyAcc-min()-X,0.0499099900564488,0.0008016001083888112,0.0003914671833626927,clf
0.00017800282939985782,0.00013316608144286476,0.0003497403442982514,fBodyAcc-min()-Y,0.05605687048947276,0.0008989194175228477,0.0006921717431396246,clf
0.0004396289845102477,0.00015762990684264569,0.00046816442655738937,fBodyAcc-min()-Z,0.06037188373292799,0.0006859512650407853,0.0003281402750872076,clf
0.0009067935834417998,0.0028540384290066173,0.004727847689523846,fBodyAcc-sma(),0.3058085610787102,0.00028190785087645054,0.0010406567016616464,clf
0.004354979368471276,0.005022118227419514,0.012731304805364257,fBodyAcc-energy()-X,3.5301662810514642,0.0,0.0,clf
0.001680032794491583,0.0011806259624856346,0.0027682463920187307,fBodyAcc-energy()-Y,0.3659366794705712,0.0,0.0,clf
0.0013001866669073074,0.0007767158499593125,0.0025095458340510237,fBodyAcc-energy()-Z,0.19619722315622531,0.0,0.0,clf
0.0007534822618203253,0.0025332543856734593,0.00579378623510636,fBodyAcc-iqr()-X,0.5169415139947228,0.0007105714175850152,0.0006209748098626733,clf
0.0022553938954235843,0.0012182100125358855,0.0023116195785787283,fBodyAcc-iqr()-Y,0.06886936847908058,0.0002641060564201325,0.0003157039755024016,clf
0.0006297491113565357,0.000605311104924992,0.0021437946801852186,fBodyAcc-iqr()-Z,0.14165153388017435,0.0005293486756272613,0.0006769586470909418,clf
0.0013880770296480053,0.0014431450846928995,0.00931767552601826,fBodyAcc-entropy()-X,2.210647947518,0.00014897408254910258,0.00019091225112788385,clf
0.000756522942078149,0.0018093232468781235,0.0029826965395158564,fBodyAcc-entropy()-Y,0.07597613239236764,0.00043865415500476956,0.0006094175623729825,clf
0.001005348923657237,0.0009422408658489967,0.0016163799822213336,fBodyAcc-entropy()-Z,0.14615321485447955,0.000381940248189494,0.0005680644535459577,clf
0.0009208724702871435,0.0004750966625372769,0.002454435293839009,fBodyAcc-maxInds-X,0.24129975347326,0.0011735591106116776,0.00279448670335114,clf
0.0009009738887347787,0.0008089231395824668,0.001757172811616213,fBodyAcc-maxInds-Y,0.5724388842236378,0.000744254677556455,0.0008925360743887722,clf
0.00022082821763952184,0.0002322848975752019,0.0006571428405245031,fBodyAcc-maxInds-Z,0.15455996009177314,0.0006702765822410582,0.0009684226824901998,clf
0.0020399049461195377,0.001485883519789625,0.004378982732950863,fBodyAcc-meanFreq()-X,0.2375189331199224,0.0009081593016162516,0.0008265432552434504,clf
0.0005588655375713098,0.0014111220132681005,0.0030531317064407828,fBodyAcc-meanFreq()-Y,0.470800141698444,0.0010395395802333947,0.0009308341541327537,clf
0.0026116870133993503,0.0028892196482530703,0.0059849988057516755,fBodyAcc-meanFreq()-Z,2.6683028456501163,0.00407261261716485,0.00976981408894062,clf
0.00198261293997389,0.00213583833725297,0.003835349360738335,fBodyAcc-skewness()-X,0.7302338134265289,0.0030095092952251434,0.10218778997659683,clf
0.001373294963238797,0.00215494817735015,0.004666694296918249,fBodyAcc-kurtosis()-X,0.625023910408985,0.0014747397508472204,0.0038673551753163338,clf
0.002219232117712664,0.0020335352282190725,0.004415481016989598,fBodyAcc-skewness()-Y,0.9900394515037514,0.002695145783945918,0.0061165080405771715,clf
0.001264304009993494,0.0015474218491745748,0.004283120377873657,fBodyAcc-kurtosis()-Y,0.6686007793224366,0.0007940289797261357,0.0015730195445939898,clf
