model,method,k,metric,value,task
SVM,wv_rf,1,MAE,1.7579489869240401,reg
SVM,wv_rf,2,MAE,1.5551834901939352,reg
SVM,wv_rf,2,MAE,1.6199018581724056,reg
SVM,wv_rf,2,MAE,1.5558840704497459,reg
SVM,wv_rf,2,MAE,1.5708297449143716,reg
SVM,wv_rf,2,MAE,1.552506145379476,reg
SVM,wv_rf,3,MAE,1.5472435913673255,reg
SVM,wv_rf,3,MAE,1.610810816341736,reg
SVM,wv_rf,3,MAE,1.5441854098724233,reg
SVM,wv_rf,3,MAE,1.5736350035444868,reg
SVM,wv_rf,3,MAE,1.5504659852743552,reg
SVM,wv_rf,4,MAE,1.537478232183907,reg
SVM,wv_rf,4,MAE,1.577704361405056,reg
SVM,wv_rf,4,MAE,1.514940003751562,reg
SVM,wv_rf,4,MAE,1.5547270420746429,reg
SVM,wv_rf,4,MAE,1.515459205238136,reg
SVM,wv_rf,5,MAE,1.5179428891267566,reg
SVM,wv_rf,5,MAE,1.585977281821105,reg
SVM,wv_rf,5,MAE,1.4998776590327194,reg
SVM,wv_rf,5,MAE,1.5616900913462881,reg
SVM,wv_rf,5,MAE,1.51814426672037,reg
SVM,wv_rf,6,MAE,1.510572256841695,reg
SVM,wv_rf,6,MAE,1.5737348297164455,reg
SVM,wv_rf,6,MAE,1.4813609376369903,reg
SVM,wv_rf,6,MAE,1.562635218569483,reg
SVM,wv_rf,6,MAE,1.5169152821709846,reg
SVM,wv_rf,7,MAE,1.4995909415251252,reg
SVM,wv_rf,7,MAE,1.5753491592978788,reg
SVM,wv_rf,7,MAE,1.4991891357455438,reg
SVM,wv_rf,7,MAE,1.5546223817204445,reg
SVM,wv_rf,7,MAE,1.5239750673589623,reg
SVM,wv_rf,8,MAE,1.4822203205948632,reg
SVM,wv_rf,8,MAE,1.5478964064664964,reg
SVM,wv_rf,8,MAE,1.469757054109352,reg
SVM,wv_rf,8,MAE,1.5403432347446218,reg
SVM,wv_rf,8,MAE,1.4934648882575345,reg
SVM,wv_rf,9,MAE,1.4881588504734735,reg
SVM,wv_rf,9,MAE,1.5441579523100022,reg
SVM,wv_rf,9,MAE,1.4635500720776817,reg
SVM,wv_rf,9,MAE,1.5399381206022114,reg
SVM,wv_rf,9,MAE,1.5056894183681395,reg
SVM,wv_rf,10,MAE,1.48433203513631,reg
SVM,wv_rf,10,MAE,1.5534035530332488,reg
SVM,wv_rf,10,MAE,1.470951229074706,reg
SVM,wv_rf,10,MAE,1.5412675495531891,reg
SVM,wv_rf,10,MAE,1.5104903646230285,reg
SVM,xgb_shap,1,MAE,2.083128058652605,reg
SVM,xgb_shap,1,MAE,2.16900797800089,reg
SVM,xgb_shap,1,MAE,2.1664537580420413,reg
SVM,xgb_shap,1,MAE,2.07668923521997,reg
SVM,xgb_shap,1,MAE,2.2045248922413765,reg
SVM,xgb_shap,2,MAE,1.5589851068373906,reg
SVM,xgb_shap,2,MAE,1.615591953492163,reg
SVM,xgb_shap,2,MAE,1.5562488170300253,reg
SVM,xgb_shap,2,MAE,1.577081555275949,reg
SVM,xgb_shap,2,MAE,1.5584659793284368,reg
SVM,xgb_shap,3,MAE,1.5317474363800765,reg
SVM,xgb_shap,3,MAE,1.5663374721305663,reg
SVM,xgb_shap,3,MAE,1.5101605992982976,reg
SVM,xgb_shap,3,MAE,1.550075481893213,reg
SVM,xgb_shap,3,MAE,1.5303087000413558,reg
SVM,xgb_shap,4,MAE,1.530552942283024,reg
SVM,xgb_shap,4,MAE,1.578425523390055,reg
SVM,xgb_shap,4,MAE,1.5020116311796055,reg
SVM,xgb_shap,4,MAE,1.5709414250705072,reg
SVM,xgb_shap,4,MAE,1.5323774242090573,reg
SVM,xgb_shap,5,MAE,1.4907352142940202,reg
SVM,xgb_shap,5,MAE,1.5523168248536057,reg
SVM,xgb_shap,5,MAE,1.4620496694439173,reg
SVM,xgb_shap,5,MAE,1.5526186923670606,reg
SVM,xgb_shap,5,MAE,1.5039709180789225,reg
SVM,xgb_shap,6,MAE,1.4856115243920973,reg
SVM,xgb_shap,6,MAE,1.546510901440142,reg
SVM,xgb_shap,6,MAE,1.455719946073531,reg
SVM,xgb_shap,6,MAE,1.5471537691865624,reg
SVM,xgb_shap,6,MAE,1.4883234942999446,reg
SVM,xgb_shap,7,MAE,1.477165788262017,reg
SVM,xgb_shap,7,MAE,1.5513541736816323,reg
SVM,xgb_shap,7,MAE,1.4697764191562723,reg
SVM,xgb_shap,7,MAE,1.5389118873857703,reg
SVM,xgb_shap,7,MAE,1.5071376254282245,reg
SVM,xgb_shap,8,MAE,1.4806965237900436,reg
SVM,xgb_shap,8,MAE,1.551466137367811,reg
SVM,xgb_shap,8,MAE,1.4693632373024126,reg
SVM,xgb_shap,8,MAE,1.5317925449089311,reg
SVM,xgb_shap,8,MAE,1.4955723908415093,reg
SVM,xgb_shap,9,MAE,1.4878329719995587,reg
SVM,xgb_shap,9,MAE,1.5513602522807117,reg
SVM,xgb_shap,9,MAE,1.4656388545566696,reg
SVM,xgb_shap,9,MAE,1.5444500795789522,reg
SVM,xgb_shap,9,MAE,1.4992814933872607,reg
SVM,xgb_shap,10,MAE,1.487039304476778,reg
SVM,xgb_shap,10,MAE,1.557337516538899,reg
SVM,xgb_shap,10,MAE,1.47163669680187,reg
SVM,xgb_shap,10,MAE,1.5430640467046153,reg
SVM,xgb_shap,10,MAE,1.5083383886528192,reg
RF,xgb,1,MAE,2.0121499307089543,reg
RF,xgb,1,MAE,2.1665971606458014,reg
RF,xgb,1,MAE,2.1601533652448195,reg
RF,xgb,1,MAE,2.2605279583759272,reg
RF,xgb,1,MAE,2.2123401283043234,reg
RF,xgb,2,MAE,1.9269051321099107,reg
RF,xgb,2,MAE,2.082699914089204,reg
RF,xgb,2,MAE,2.0646147909964863,reg
RF,xgb,2,MAE,2.16022184654873,reg
RF,xgb,2,MAE,2.117888464138247,reg
RF,xgb,3,MAE,1.7946070512170398,reg
RF,xgb,3,MAE,1.942976212503554,reg
RF,xgb,3,MAE,1.909311436833962,reg
RF,xgb,3,MAE,1.9560338639660901,reg
RF,xgb,3,MAE,1.94193918382136,reg
RF,xgb,4,MAE,1.7926675983268634,reg
RF,xgb,4,MAE,1.941287457574304,reg
RF,xgb,4,MAE,1.9073844458607807,reg
RF,xgb,4,MAE,1.9537434012706765,reg
RF,xgb,4,MAE,1.939901476319086,reg
RF,xgb,5,MAE,1.7500949955048875,reg
RF,xgb,5,MAE,1.8872021725158303,reg
RF,xgb,5,MAE,1.8588162255485576,reg
RF,xgb,5,MAE,1.8921010067572208,reg
RF,xgb,5,MAE,1.8969505502626327,reg
RF,xgb,6,MAE,1.7496109019879045,reg
RF,xgb,6,MAE,1.8871055184131602,reg
RF,xgb,6,MAE,1.858439936540368,reg
RF,xgb,6,MAE,1.891527216208872,reg
RF,xgb,6,MAE,1.896040866945108,reg
RF,xgb,7,MAE,1.7416681264147198,reg
RF,xgb,7,MAE,1.8811164671506995,reg
RF,xgb,7,MAE,1.8526039619157866,reg
RF,xgb,7,MAE,1.882011800615955,reg
RF,xgb,7,MAE,1.8880237651355858,reg
RF,xgb,8,MAE,1.7344275719270201,reg
RF,xgb,8,MAE,1.8747075737568148,reg
RF,xgb,8,MAE,1.8464851155083326,reg
RF,xgb,8,MAE,1.8719357329553412,reg
RF,xgb,8,MAE,1.8793368131535706,reg
RF,xgb,9,MAE,1.7306744327925578,reg
RF,xgb,9,MAE,1.871464256655511,reg
RF,xgb,9,MAE,1.8496111063382463,reg
RF,xgb,9,MAE,1.8654982753006903,reg
RF,xgb,9,MAE,1.883055248644515,reg
RF,xgb,10,MAE,1.7318749350339702,reg
RF,xgb,10,MAE,1.8719747336185866,reg
RF,xgb,10,MAE,1.8479192079041338,reg
RF,xgb,10,MAE,1.867822207570395,reg
RF,xgb,10,MAE,1.8823585588469058,reg
RF,perm,1,MAE,2.015700465274856,reg
RF,perm,1,MAE,2.171092402809909,reg
RF,perm,1,MAE,2.156588687875108,reg
RF,perm,1,MAE,2.275144013224678,reg
RF,perm,1,MAE,2.2122810271230953,reg
RF,perm,2,MAE,1.9269051321099107,reg
RF,perm,2,MAE,2.082699914089204,reg
RF,perm,2,MAE,2.0646147909964863,reg
RF,perm,2,MAE,2.16022184654873,reg
RF,perm,2,MAE,2.117888464138247,reg
RF,perm,3,MAE,1.7946070512170398,reg
RF,perm,3,MAE,1.942976212503554,reg
RF,perm,3,MAE,1.909311436833962,reg
RF,perm,3,MAE,1.9560338639660901,reg
RF,perm,3,MAE,1.94193918382136,reg
RF,perm,4,MAE,1.7926675983268634,reg
RF,perm,4,MAE,1.941287457574304,reg
RF,perm,4,MAE,1.9073844458607807,reg
RF,perm,4,MAE,1.9537434012706765,reg
RF,perm,4,MAE,1.939901476319086,reg
RF,perm,5,MAE,1.783774375297529,reg
RF,perm,5,MAE,1.932672554421458,reg
RF,perm,5,MAE,1.8997257695464431,reg
RF,perm,5,MAE,1.9426595809894545,reg
RF,perm,5,MAE,1.9299059963701415,reg
RF,perm,6,MAE,1.7827451444950504,reg
RF,perm,6,MAE,1.932000855046865,reg
RF,perm,6,MAE,1.8986147177419863,reg
RF,perm,6,MAE,1.9405434928319236,reg
RF,perm,6,MAE,1.928707411467201,reg
RF,perm,7,MAE,1.773165194362296,reg
RF,perm,7,MAE,1.9237160516886929,reg
RF,perm,7,MAE,1.8901919216943917,reg
RF,perm,7,MAE,1.9274473234613798,reg
RF,perm,7,MAE,1.918870499625207,reg
RF,perm,8,MAE,1.7344275719270201,reg
RF,perm,8,MAE,1.8747075737568153,reg
RF,perm,8,MAE,1.8464851155083326,reg
RF,perm,8,MAE,1.8719357329553414,reg
RF,perm,8,MAE,1.8793368131535704,reg
RF,perm,9,MAE,1.730674432792558,reg
RF,perm,9,MAE,1.8714642566555113,reg
RF,perm,9,MAE,1.8496111063382463,reg
RF,perm,9,MAE,1.8654982753006903,reg
RF,perm,9,MAE,1.8830552486445147,reg
RF,perm,10,MAE,1.7318749350339706,reg
RF,perm,10,MAE,1.8719747336185866,reg
RF,perm,10,MAE,1.8479192079041338,reg
RF,perm,10,MAE,1.867822207570395,reg
RF,perm,10,MAE,1.8823585588469058,reg
RF,rf_shap,1,MAE,2.015700465274856,reg
RF,rf_shap,1,MAE,2.171092402809909,reg
RF,rf_shap,1,MAE,2.156588687875108,reg
RF,rf_shap,1,MAE,2.275144013224678,reg
RF,rf_shap,1,MAE,2.2122810271230953,reg
RF,rf_shap,2,MAE,1.9269051321099107,reg
RF,rf_shap,2,MAE,2.082699914089204,reg
RF,rf_shap,2,MAE,2.0646147909964863,reg
RF,rf_shap,2,MAE,2.16022184654873,reg
RF,rf_shap,2,MAE,2.117888464138247,reg
RF,rf_shap,3,MAE,1.921378153989411,reg
RF,rf_shap,3,MAE,2.0763951650018853,reg
RF,rf_shap,3,MAE,2.0579411405356063,reg
RF,rf_shap,3,MAE,2.154320529887883,reg
RF,rf_shap,3,MAE,2.1120192106185542,reg
RF,rf_shap,4,MAE,1.7926675983268636,reg
RF,rf_shap,4,MAE,1.941287457574304,reg
RF,rf_shap,4,MAE,1.9073844458607805,reg
RF,rf_shap,4,MAE,1.9537434012706765,reg
RF,rf_shap,4,MAE,1.939901476319086,reg
RF,rf_shap,5,MAE,1.783774375297529,reg
RF,rf_shap,5,MAE,1.932672554421458,reg
RF,rf_shap,5,MAE,1.8997257695464431,reg
RF,rf_shap,5,MAE,1.9426595809894547,reg
RF,rf_shap,5,MAE,1.9299059963701417,reg
RF,rf_shap,6,MAE,1.7827451444950502,reg
RF,rf_shap,6,MAE,1.932000855046865,reg
RF,rf_shap,6,MAE,1.8986147177419863,reg
RF,rf_shap,6,MAE,1.9405434928319238,reg
RF,rf_shap,6,MAE,1.9287074114672011,reg
RF,rf_shap,7,MAE,1.7416681264147196,reg
RF,rf_shap,7,MAE,1.8811164671506997,reg
RF,rf_shap,7,MAE,1.8526039619157861,reg
RF,rf_shap,7,MAE,1.8820118006159554,reg
RF,rf_shap,7,MAE,1.8880237651355858,reg
RF,rf_shap,8,MAE,1.7344275719270201,reg
RF,rf_shap,8,MAE,1.8747075737568153,reg
RF,rf_shap,8,MAE,1.8464851155083326,reg
RF,rf_shap,8,MAE,1.8719357329553412,reg
RF,rf_shap,8,MAE,1.8793368131535708,reg
RF,rf_shap,9,MAE,1.7306744327925585,reg
RF,rf_shap,9,MAE,1.8714642566555113,reg
RF,rf_shap,9,MAE,1.8496111063382463,reg
RF,rf_shap,9,MAE,1.8654982753006903,reg
RF,rf_shap,9,MAE,1.883055248644515,reg
RF,rf_shap,10,MAE,1.7318749350339706,reg
RF,rf_shap,10,MAE,1.8719747336185864,reg
RF,rf_shap,10,MAE,1.8479192079041338,reg
RF,rf_shap,10,MAE,1.8678222075703954,reg
RF,rf_shap,10,MAE,1.8823585588469058,reg
RF,rf,1,MAE,2.015700465274856,reg
RF,rf,1,MAE,2.171092402809909,reg
RF,rf,1,MAE,2.156588687875108,reg
RF,rf,1,MAE,2.275144013224678,reg
RF,rf,1,MAE,2.2122810271230953,reg
RF,rf,2,MAE,2.005081901438482,reg
RF,rf,2,MAE,2.160617984372737,reg
RF,rf,2,MAE,2.1467634366440773,reg
RF,rf,2,MAE,2.263541427450219,reg
RF,rf,2,MAE,2.2013234546429494,reg
RF,rf,3,MAE,1.790311693345782,reg
RF,rf,3,MAE,1.9378020964454858,reg
RF,rf,3,MAE,1.903553874934701,reg
RF,rf,3,MAE,1.953268666823785,reg
RF,rf,3,MAE,1.9388467519971988,reg
RF,rf,4,MAE,1.7926675983268638,reg
RF,rf,4,MAE,1.941287457574304,reg
RF,rf,4,MAE,1.9073844458607807,reg
RF,rf,4,MAE,1.9537434012706765,reg
RF,rf,4,MAE,1.939901476319086,reg
RF,rf,5,MAE,1.791790698053679,reg
RF,rf,5,MAE,1.9404681770299508,reg
RF,rf,5,MAE,1.905979103498434,reg
RF,rf,5,MAE,1.9521333325681884,reg
RF,rf,5,MAE,1.9371741793312527,reg
RF,rf,6,MAE,1.7827451444950504,reg
RF,rf,6,MAE,1.9320008550468653,reg
RF,rf,6,MAE,1.898614717741986,reg
RF,rf,6,MAE,1.9405434928319238,reg
RF,rf,6,MAE,1.9287074114672011,reg
RF,rf,7,MAE,1.773165194362296,reg
RF,rf,7,MAE,1.9237160516886929,reg
RF,rf,7,MAE,1.8901919216943912,reg
RF,rf,7,MAE,1.9274473234613798,reg
RF,rf,7,MAE,1.9188704996252073,reg
RF,rf,8,MAE,1.7344275719270201,reg
RF,rf,8,MAE,1.8747075737568153,reg
RF,rf,8,MAE,1.8464851155083326,reg
RF,rf,8,MAE,1.8719357329553412,reg
RF,rf,8,MAE,1.8793368131535704,reg
RF,rf,9,MAE,1.730674432792558,reg
RF,rf,9,MAE,1.8714642566555113,reg
RF,rf,9,MAE,1.8496111063382468,reg
RF,rf,9,MAE,1.8654982753006903,reg
RF,rf,9,MAE,1.883055248644515,reg
RF,rf,10,MAE,1.7318749350339706,reg
RF,rf,10,MAE,1.8719747336185866,reg
RF,rf,10,MAE,1.8479192079041336,reg
RF,rf,10,MAE,1.8678222075703954,reg
RF,rf,10,MAE,1.8823585588469056,reg
RF,wv_rf,1,MAE,2.015700465274856,reg
RF,wv_rf,1,MAE,2.171092402809909,reg
RF,wv_rf,1,MAE,2.156588687875108,reg
RF,wv_rf,1,MAE,2.275144013224678,reg
RF,wv_rf,1,MAE,2.2122810271230953,reg
RF,wv_rf,2,MAE,1.9269051321099107,reg
RF,wv_rf,2,MAE,2.082699914089204,reg
RF,wv_rf,2,MAE,2.0646147909964863,reg
RF,wv_rf,2,MAE,2.16022184654873,reg
RF,wv_rf,2,MAE,2.117888464138247,reg
RF,wv_rf,3,MAE,1.9036205327142686,reg
RF,wv_rf,3,MAE,2.060251399630872,reg
RF,wv_rf,3,MAE,2.0400733053238986,reg
RF,wv_rf,3,MAE,2.1301290919026052,reg
RF,wv_rf,3,MAE,2.092253812044027,reg
RF,wv_rf,4,MAE,1.7935369459961108,reg
RF,wv_rf,4,MAE,1.9422618846197512,reg
RF,wv_rf,4,MAE,1.9080656430257923,reg
RF,wv_rf,4,MAE,1.9537324396775035,reg
RF,wv_rf,4,MAE,1.9401057972670614,reg
RF,wv_rf,5,MAE,1.7917906980536789,reg
RF,wv_rf,5,MAE,1.940468177029951,reg
RF,wv_rf,5,MAE,1.905979103498434,reg
RF,wv_rf,5,MAE,1.9521333325681882,reg
RF,wv_rf,5,MAE,1.9371741793312525,reg
RF,wv_rf,6,MAE,1.7813405183072448,reg
RF,wv_rf,6,MAE,1.93065313520188,reg
RF,wv_rf,6,MAE,1.8970505730976275,reg
RF,wv_rf,6,MAE,1.9381415302707912,reg
RF,wv_rf,6,MAE,1.9275089531372258,reg
RF,wv_rf,7,MAE,1.7731651943622955,reg
RF,wv_rf,7,MAE,1.9237160516886929,reg
RF,wv_rf,7,MAE,1.8901919216943912,reg
RF,wv_rf,7,MAE,1.9274473234613798,reg
RF,wv_rf,7,MAE,1.9188704996252073,reg
RF,wv_rf,8,MAE,1.73442757192702,reg
RF,wv_rf,8,MAE,1.8747075737568148,reg
RF,wv_rf,8,MAE,1.8464851155083326,reg
RF,wv_rf,8,MAE,1.8719357329553412,reg
